municipality,tot_pob,high,professionals,europeans,nse_municip,NumCompanies_10S,NumNewCompanies_10S,NumCompanies_ML_10S,NumCompanies_HP_10S,Banks_BBVA,banks_Bankinter,banks_CaixaBank,banks_Sabadell,banks_Santander,banks_total
43108,2340,26.2845885791845,710.9497206703909,2169,3.82948294829483,46.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0
43109,4052,49.185614126074604,1155.378429652463,3692,3.7309423949802323,182.0,10.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
43110,340,1.12621825339671,133.6477987421382,287,3.1984732824427495,10.0,0.0,0.0,0.0,,,,,,
43111,3101,15.696571537277908,1010.81537551518,2850,3.558260236319381,146.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
43112,327,1.15178176456132,136.85942492012794,298,3.07692307692308,13.0,2.0,0.0,0.0,,,,,,
43113,492,5.40688354549741,124.70495049504957,434,3.34761904761905,11.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
43114,429,2.17577411199279,178.8314350797266,410,3.40659340659341,33.0,0.0,0.0,1.0,,,,,,
43115,172,0.0,69.0263157894737,156,3.27868852459016,8.0,0.0,0.0,0.0,,,,,,
43116,625,11.29765872267289,182.5127334465198,558,3.58024691358025,41.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
43117,186,0.0,57.93442622950828,165,3.31578947368421,2.0,0.0,0.0,0.0,,,,,,
43118,693,14.32991711024602,201.8902439024391,537,3.76221498371335,12.0,1.0,0.0,0.0,,,,,,
43119,1199,22.795415816457172,446.6248912097478,1147,3.7920168067226894,61.0,0.0,3.0,5.0,,,,,,
43120,572,4.59276791584484,216.61538461538453,542,3.51428571428571,15.0,3.0,0.0,0.0,,,,,,
43121,822,9.06663697600624,250.49423815621012,756,3.22670807453416,17.0,1.0,0.0,0.0,,,,,,
43122,152,18.54149926506614,30.98089171974516,147,4.76923076923077,22.0,0.0,2.0,3.0,,,,,,
43123,106741,3293.3230972362903,29438.557311553788,88969,3.892808469195221,49082.0,1884.0,693.0,1567.0,4.0,1.0,6.0,2.0,3.0,16.0
43124,552,12.5125,126.44102564102567,510,3.7416666666666702,25.0,1.0,2.0,1.0,,,,,,
43125,1131,12.21660860351123,318.40763765541726,1048,3.6802575107296094,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
43126,1752,19.120706688861198,556.5412844036699,1621,3.6731301939058203,70.0,5.0,1.0,1.0,,,,,,
43127,1279,10.362728555651,473.3665480427046,1085,3.5129310344827602,26.0,0.0,2.0,4.0,,,,,,
43128,1198,22.75954477430133,467.01694915254257,1063,3.82956878850103,17.0,1.0,1.0,1.0,,,,,,
43129,6721,78.71064856296809,2678.278091456822,5897,3.724106292148532,1176.0,40.0,24.0,48.0,1.0,0.0,1.0,0.0,0.0,2.0
43130,241,1.07028985507246,77.12000000000006,218,3.48913043478261,8.0,0.0,0.0,0.0,,,,,,
43131,7591,99.76720421525357,2719.2372383490565,6611,3.856971773236449,924.0,63.0,9.0,30.0,1.0,0.0,1.0,0.0,0.0,2.0
